id,generation,first_name,last_name,gender,birth_date,death_date,age,married_year,married_age,personality,clan_name,spouse_id,father_id,mother_id,parent_node_id
34,7,Nappy,Kenny,M,2/16/1978,11/25/2056,78,2015.0,37.0,ESFP,Ashenfire,,31.0,32.0,32
35,7,Noby,Scandroot,M,5/21/1986,9/26/2080,94,2015.0,29.0,ESFJ,Ashenfire,34.0,,,34
36,8,Horace,Xu,M,10/22/2015,5/3/2095,80,,,ESFP,Ashenfire,,34.0,35.0,35
43,7,Ginelle,Douglas,F,9/27/1989,12/24/2074,85,,,ENTP,Blacksteel,,31.0,32.0,32
44,7,Leodora,Rau,F,2/5/2003,2/3/2099,96,,,ESTJ,Blacksteel,,31.0,32.0,32
46,6,Isac,Lambden,M,10/12/1950,3/12/2026,76,1980.0,30.0,ESTJ,Akira,,29.0,30.0,30
47,6,Lukas,Bockin,M,8/25/1941,7/7/2021,80,1980.0,39.0,ESFP,Ashenmourn,46.0,,,46
48,7,Adina,Nellen,F,4/10/1980,4/20/2056,76,2018.0,38.0,ISFJ,Akira,,46.0,47.0,47
49,7,Bekki,Curle,F,7/8/1988,7/8/2075,87,2018.0,30.0,ESTP,Nightshade,48.0,,,48
50,8,Kael,Savege,M,3/17/2018,11/15/2086,68,2052.0,34.0,ESTP,Akira,,48.0,49.0,49
54,7,Demetris,Laterza,M,10/24/1989,12/19/2076,87,2007.0,18.0,ESFJ,Akira,,46.0,47.0,47
55,7,Noble,Newbatt,M,9/5/1978,8/9/2066,88,2007.0,29.0,ESTP,Ashenmourn,54.0,,,54
56,8,Olenka,Murricanes,F,6/25/2007,1/16/2068,61,,,ESTJ,Akira,,54.0,55.0,55
57,8,Estrella,Foad,F,10/5/2014,12/6/2094,80,,,ESTP,Akira,,54.0,55.0,55
60,7,Domenic,Song,M,6/8/2001,2/22/2083,82,,,ENFJ,Akira,,46.0,47.0,47
61,7,Janeta,Stowe,F,9/28/2013,12/7/2113,100,2046.0,33.0,ISTP,Ashenmourn,,46.0,47.0,47
63,6,Enriqueta,Yakunin,F,1/12/2009,12/21/2079,70,2037.0,28.0,ESTP,Ashenfire,,29.0,30.0,30
64,5,Terrell,Tremble,M,2/25/1940,8/16/2026,86,,,ENFJ,Aoki,,11.0,12.0,12
65,5,Renaldo,Sloyan,M,1/25/1961,10/20/2060,99,,,ESTP,Aoki,,11.0,12.0,12
66,4,Daisy,Stillwell,F,1/19/1868,9/21/1948,80,,,ESTP,Aoki,,6.0,7.0,7
67,4,Aubree,Armstead,F,10/11/1885,11/10/1993,108,,,ESTJ,Aoki,,6.0,7.0,7
68,3,Malchy,Feaks,M,1/1/1810,4/4/1905,95,,,ESFJ,Akira,,4.0,5.0,5
69,2,Augustina,Lorentzen,F,3/3/1761,2/12/1846,85,,,ESTJ,Akira,,2.0,3.0,3
70,2,Kalli,Czaple,F,4/4/1773,9/3/1873,100,,,ESFJ,Akira,,2.0,3.0,3
71,2,Tymon,Lambden,M,8/8/1786,11/27/1857,71,,,INTJ,Akira,,2.0,3.0,3
72,2,Damon,Burrell,M,7/9/1796,2/16/1874,78,,,ISFJ,Akira,,2.0,3.0,3
73,2,Evey,Calf,F,1/8/1810,10/8/1917,107,,,ESTP,Akira,,2.0,3.0,3
74,2,Averyl,Cullity,F,5/24/1818,11/21/1907,89,1846.0,28.0,ESTJ,Akira,,2.0,3.0,3
75,2,Skippie,Siret,M,6/22/1812,8/13/1898,86,1846.0,34.0,ESFJ,Ashenfire,74.0,,,74
76,3,Grayce,Heinonen,F,7/6/1846,10/22/1916,70,,,ESFP,Ashenfire,,74.0,75.0,75
77,3,Shoshanna,Ogilby,F,8/22/1856,5/21/1912,56,,,INFP,Ashenfire,,74.0,75.0,75
78,3,Herman,Tingley,M,9/10/1870,3/2/1941,71,,,ENFJ,Ashenfire,,74.0,75.0,75
79,3,Bianca,Dowdle,F,7/27/1882,8/5/1967,85,,,ESFP,Ashenfire,,74.0,75.0,75
80,3,Lannie,Duffan,M,11/8/1892,3/23/1977,85,,,ESFP,Ashenfire,,74.0,75.0,75
81,3,Bekki,Fraczak,F,9/23/1902,12/11/1998,96,1934.0,32.0,ESFP,Akira,,74.0,75.0,75
82,3,Cathrine,Santino,F,4/24/1888,3/8/1963,75,1934.0,46.0,ENTP,Ashenmourn,81.0,,,81
83,4,Dietrich,Balazs,M,6/4/1935,3/8/2016,81,,,ESTP,Ashenmourn,,81.0,82.0,82
84,4,Constantina,Yearron,F,1/1/1947,5/17/2029,82,,,ENFJ,Ashenmourn,,81.0,82.0,82
85,4,Guendolen,Penn,F,11/9/1953,6/23/2033,80,,,ESTJ,Ashenmourn,,81.0,82.0,82
86,4,Earle,Collelton,M,5/24/1967,1/26/2049,82,2000.0,33.0,ISTP,Akira,,81.0,82.0,82
87,4,Niles,Despairbringer,M,2/7/1953,6/20/2040,87,2000.0,47.0,ESFJ,Ashenfire,86.0,,,86
88,5,Ashlee,Rattrie,F,5/21/2000,11/21/2071,71,2033.0,33.0,ESFP,Akira,,86.0,87.0,87
89,5,Jill,Crellin,F,12/11/2016,7/10/2095,79,,,ESFP,Akira,,86.0,87.0,87
90,4,Doralyn,Gerardot,F,5/16/1985,8/9/2085,100,2013.0,28.0,ESTP,Ashenmourn,,81.0,82.0,82
91,4,Meredith,Filippazzo,F,2/6/1984,4/24/2092,108,2013.0,29.0,ESFP,Blacksteel,90.0,,,90
92,5,Elna,Tratton,F,6/4/2013,1/24/2113,100,,,ENTJ,Ashenmourn,,90.0,91.0,91
97,1,Margarethe,Monument,F,5/3/1735,8/14/1816,81,,,ISTP,Blacksteel,,0.0,1.0,1
98,1,Jenn,Labro,F,8/9/1755,12/3/1824,69,1802.0,47.0,ISFP,Blacksteel,,0.0,1.0,1
99,1,Mitchel,Nellies,M,11/27/1769,11/27/1844,75,1802.0,33.0,ESTJ,Ashenfire,98.0,,,98
100,2,Alano,D'Andrea,M,9/8/1802,9/16/1872,70,1836.0,34.0,ISFJ,Ashenfire,,98.0,99.0,99
101,2,Eda,Arons,F,9/26/1811,10/17/1881,70,1836.0,25.0,ESTJ,Ashenfire,100.0,,,100
102,3,Amelina,McGready,F,1/20/1836,9/24/1926,90,,,ESTP,Ashenfire,,100.0,101.0,101
103,3,Sheryl,Snedden,F,12/27/1852,8/7/1929,77,1890.0,38.0,ISFJ,Ashenfire,,100.0,101.0,101
104,3,Aldis,Amer,M,10/8/1861,7/9/1931,70,1890.0,29.0,ESFJ,Akira,103.0,,,103
105,4,Raddie,Minihane,M,7/4/1890,11/6/1958,68,1938.0,48.0,ESTJ,Ashenfire,,103.0,104.0,104
106,4,Basilius,Ridehalgh,M,2/28/1912,10/10/1993,81,1938.0,26.0,ESTJ,Akira,105.0,,,105
107,5,Niki,Surtees,M,9/28/1939,6/17/2027,88,1985.0,46.0,ESTP,Ashenfire,,105.0,106.0,106
108,5,Nealon,Braybrooks,M,6/21/1960,4/2/2067,107,1985.0,25.0,ESTJ,Akira,107.0,,,107
109,6,Kelby,Mougeot,M,1/22/1989,12/28/2088,99,,,ENTJ,Ashenfire,,107.0,108.0,108
110,6,Virgina,Phillipps,F,3/23/1997,4/4/2089,92,2036.0,39.0,ENFJ,Akira,,107.0,108.0,108
111,6,Ethel,Sizland,F,10/5/2022,8/5/2082,60,,,ESFP,Ashenfire,,107.0,108.0,108
114,5,Gustavus,Vesque,M,6/13/1951,5/17/2020,69,1985.0,34.0,ESTP,Ashenfire,,105.0,106.0,106
115,5,Bernie,Pecha,M,5/9/1948,5/24/2048,100,1985.0,37.0,ENTP,Akira,114.0,,,114
116,6,Ricard,Anniwell,M,5/17/1985,11/27/2060,75,,,ESTP,Ashenfire,,114.0,115.0,115
117,6,Cecilia,Galiford,F,11/27/1994,8/9/2074,80,,,ESTJ,Ashenfire,,114.0,115.0,115
118,6,Normie,Skep,M,2/18/2003,9/7/2063,60,,,ESFP,Ashenfire,,114.0,115.0,115
119,6,Binnie,Randell,F,8/13/2016,4/26/2096,80,,,ESFJ,Ashenfire,,114.0,115.0,115
124,5,Panchito,Symcock,M,12/13/1963,6/7/2070,107,1994.0,31.0,ESTJ,Ashenfire,,105.0,106.0,106
125,5,Annice,Pershouse,F,10/7/1970,8/14/2066,96,1994.0,24.0,ESTP,Ashenfire,124.0,,,124
126,6,Andros,Yglesias,M,1/15/1994,5/3/2049,55,,,ESTJ,Ashenfire,,124.0,125.0,125
127,6,Betteann,Souster,F,6/3/2006,9/17/2085,79,,,ISTP,Ashenfire,,124.0,125.0,125
128,6,Weber,Fairbeard,M,5/10/2017,9/3/2085,68,,,ENTJ,Ashenfire,,124.0,125.0,125
136,5,Irita,Duggon,F,8/14/1976,12/12/2073,97,,,ESTP,Ashenfire,,105.0,106.0,106
137,5,Clayborne,Aberkirder,M,9/27/1991,2/14/2076,85,,,ESFP,Ashenfire,,105.0,106.0,106
138,5,Desiree,MacLaig,F,2/21/2001,12/8/2054,53,2040.0,39.0,ESFJ,Akira,,105.0,106.0,106
139,5,Brett,Fursse,F,9/25/2015,6/11/2100,85,2063.0,48.0,ESTP,Ashenfire,,105.0,106.0,106
141,3,Nicola,Foucar,M,1/15/1864,2/17/1951,87,,,ENTJ,Ashenfire,,100.0,101.0,101
142,3,Mel,Antalffy,F,2/20/1877,8/13/1973,96,1912.0,35.0,ESTP,Ashenfire,,100.0,101.0,101
143,3,Chane,Dupoy,M,11/24/1886,7/13/1975,89,1912.0,26.0,ESTJ,Blacksteel,142.0,,,142
144,4,Fee,Blaney,M,6/28/1912,3/11/2012,100,,,ESTJ,Blacksteel,,142.0,143.0,143
145,4,Bernadina,Lorenzetto,F,9/9/1924,10/6/2001,77,1961.0,37.0,ESFP,Ashenfire,,142.0,143.0,143
146,4,Jannelle,Lander,F,6/1/1918,3/18/2023,105,1961.0,43.0,ENTJ,Dragonbane,145.0,,,145
147,5,Reece,McGebenay,M,9/4/1962,5/15/2017,55,,,ISTP,Stormwarden,,145.0,146.0,146
148,5,Iosep,McPhail,M,10/11/1973,12/9/2058,85,2015.0,42.0,ISTJ,Ashenfire,,145.0,146.0,146
149,5,Webster,Liebmann,M,12/22/1979,8/26/2059,80,2015.0,36.0,ESTP,Abe,148.0,,,148
150,6,Gris,MacDearmid,M,3/12/2015,6/14/2109,94,,,ENFP,Bloodmoon,,148.0,149.0,149
155,5,Katrina,Macieiczyk,F,7/10/1992,4/17/2086,94,2048.0,56.0,ESTP,Yoshida,,145.0,146.0,146
156,5,Shelbi,Jopp,F,7/8/2001,9/4/2106,105,,,ESFP,Miyamoto,,145.0,146.0,146
158,4,Nevil,Hartshorn,M,2/27/1948,2/28/2028,80,,,ESTP,Ashenfire,,142.0,143.0,143
159,4,Moyra,Cartledge,F,4/9/1981,2/7/2059,78,,,ESTP,Blacksteel,,142.0,143.0,143
160,2,Betsey,Spittles,F,5/15/1821,11/13/1876,55,,,ESTJ,Blacksteel,,98.0,99.0,99
161,2,Sigfried,Cowl,M,4/23/1839,10/9/1919,80,1873.0,34.0,ESFP,Blacksteel,,98.0,99.0,99
162,2,Caryl,Franchyonok,M,10/10/1834,12/8/1916,82,1873.0,39.0,ESFJ,Akira,161.0,,,161
163,3,Kelsy,Meindl,F,5/20/1873,6/4/1963,90,,,ENTJ,Blacksteel,,161.0,162.0,162
164,3,Marthena,Potteridge,F,6/21/1885,7/9/1956,71,1923.0,38.0,INTP,Akira,,161.0,162.0,162
165,3,Kaylil,Kerman,F,1/14/1884,4/7/1963,79,1923.0,39.0,ISTJ,Akira,164.0,,,164
166,4,Ashlie,Findley,F,11/24/1923,12/17/2004,81,,,ESTP,Akira,,164.0,165.0,165
167,4,Beatrix,Tupie,F,2/13/1936,2/25/2017,81,,,ENFJ,Akira,,164.0,165.0,165
168,4,Cole,Gutcher,M,8/19/1945,9/16/2044,99,,,ESTJ,Akira,,164.0,165.0,165
169,4,Jeannine,Gye,F,2/27/1957,4/28/2035,78,,,ENTP,Akira,,164.0,165.0,165
170,4,Holly,Tungate,F,1/10/1968,2/16/2056,88,2003.0,35.0,ESTJ,Akira,,164.0,165.0,165
171,4,Terza,Cattell,F,7/6/1964,2/23/2046,82,2003.0,39.0,ENFP,Blacksteel,170.0,,,170
172,5,Anthia,Toothill,F,7/5/2003,7/9/2066,63,,,ESFJ,Blacksteel,,170.0,171.0,171
173,5,Trish,Setterthwait,F,9/19/2015,3/11/2093,78,2051.0,36.0,ESFJ,Akira,,170.0,171.0,171
176,4,Janine,Bennison,F,11/23/1980,4/5/2087,107,,,ESTJ,Akira,,164.0,165.0,165
177,4,Gris,Isakson,M,11/11/2011,6/27/2066,55,2041.0,30.0,ESTJ,Akira,,164.0,165.0,165
178,3,Lombard,Krzysztofiak,M,8/23/1903,12/9/1983,80,1925.0,22.0,ENTJ,Blacksteel,,161.0,162.0,162
179,3,Katrina,Wolver,F,2/14/1891,6/22/1979,88,1925.0,34.0,ESFP,Ashenmourn,178.0,,,178
180,4,Bailie,Viccary,M,10/25/1925,9/7/2014,89,1968.0,43.0,ISTJ,Blacksteel,,178.0,179.0,179
181,4,Lowe,Ingerfield,M,2/27/1935,11/16/2042,107,1968.0,33.0,ESFJ,Ashenmourn,180.0,,,180
182,5,Laure,Noice,F,5/22/1968,6/2/2046,78,1998.0,30.0,ESTP,Ashenmourn,,180.0,181.0,181
183,5,Brig,Linthead,M,1/8/1973,8/16/2061,88,1998.0,25.0,ESTJ,Aoki,182.0,,,182
184,6,Shirleen,Haith,F,11/21/1998,7/7/2078,80,2023.0,25.0,ENFJ,Aoki,,182.0,183.0,183
185,6,Natka,Eles,F,11/12/1983,2/5/2073,90,2023.0,40.0,ENTP,Silverthorn,184.0,,,184
186,7,Jeffy,Hulland,M,5/26/2023,12/17/2110,87,2044.0,21.0,ENTJ,Aoki,,184.0,185.0,185
189,6,Mannie,Flaws,M,6/27/2010,8/2/2092,82,,,ESFJ,Aoki,,182.0,183.0,183
190,6,Lura,Aldersea,F,8/12/2018,11/25/2098,80,,,ESTP,Aoki,,182.0,183.0,183
196,5,Cacilie,Kryska,F,7/8/2005,1/25/2086,81,2042.0,37.0,ESTJ,Ashenmourn,,180.0,181.0,181
197,4,Emlyn,Mineghelli,M,11/3/1935,12/17/2023,88,,,ESFJ,Blacksteel,,178.0,179.0,179
198,4,Gabriele,Trangmar,M,11/7/1948,9/26/2019,71,,,ENTJ,Blacksteel,,178.0,179.0,179
199,4,Teena,Domengue,F,5/2/1960,4/2/2052,92,,,ISFP,Blacksteel,,178.0,179.0,179
200,4,Augustin,Matfin,M,4/16/1973,9/13/2058,85,,,ISTP,Blacksteel,,178.0,179.0,179
201,4,Aiden,Pindell,M,5/14/1984,12/22/2064,80,2019.0,35.0,ESTJ,Blacksteel,,178.0,179.0,179
202,4,Davey,Dart,M,12/4/1986,9/24/2063,77,2019.0,33.0,ESFJ,Blacksteel,201.0,,,201
203,5,Elwin,Sizey,M,2/28/2019,3/24/2109,90,,,ESTP,Blacksteel,,201.0,202.0,202
212,4,Brunhilda,Duckinfield,F,8/18/1998,4/3/2090,92,,,ESTJ,Blacksteel,,178.0,179.0,179
213,4,Olly,Ainge,F,10/1/2013,8/6/2113,100,2055.0,42.0,ENTP,Ashenmourn,,178.0,179.0,179
214,3,Alla,Jullian,F,12/24/1914,4/23/1986,72,1945.0,31.0,ESTP,Blacksteel,,161.0,162.0,162
215,3,Alison,Guille,F,3/14/1920,2/1/2002,82,1945.0,25.0,ESFP,Blacksteel,214.0,,,214
216,4,Dru,Thorby,F,7/17/1948,1/10/2033,85,,,ISFP,Blacksteel,,214.0,215.0,215
217,4,Rhett,Hubach,M,4/7/1955,6/7/2058,103,1996.0,41.0,ESFJ,Blacksteel,,214.0,215.0,215
218,4,Alberik,Aldridge,M,5/7/1948,6/5/2018,70,1996.0,48.0,ESTP,Ashenfire,217.0,,,217
219,5,Heindrick,Drust,M,3/18/1996,1/6/2086,90,,,ESTJ,Ashenfire,,217.0,218.0,218
220,5,Vanessa,Devenny,F,10/16/2010,8/27/2065,55,2044.0,34.0,ENFP,Ashenfire,,217.0,218.0,218
221,5,Trula,Clancy,F,4/2/2020,6/26/2115,95,,,ESFP,Ashenfire,,217.0,218.0,218
230,4,Ulises,Gero,M,12/7/1993,12/7/2064,71,,,ENFJ,Blacksteel,,214.0,215.0,215
233,3,Bryanty,Cohani,M,12/8/1931,8/20/2027,96,1971.0,40.0,ESTP,Akira,,161.0,162.0,162
234,3,Hermione,Ewbanks,F,1/25/1938,3/18/2009,71,1971.0,33.0,ESFJ,Aoki,233.0,,,233
235,4,Gael,Dussy,F,6/14/1971,3/12/2050,79,1999.0,28.0,ESTP,Akira,,233.0,234.0,234
236,4,Lisha,Palluschek,F,3/12/1962,7/26/2047,85,1999.0,37.0,ENTP,Akira,235.0,,,235
237,5,Jorey,Copley,F,9/12/1999,5/15/2067,68,2037.0,38.0,ESTJ,Akira,,235.0,236.0,236
238,5,Dimitry,Huang,M,5/22/2014,10/19/2110,96,,,ESFJ,Akira,,235.0,236.0,236
245,2,Christoffer,Loud,M,11/9/1851,3/16/1941,90,,,ISFJ,Blacksteel,,98.0,99.0,99
